time,epoch,batch,loss,cost
  0m28s,0,2480,-0.607,13.982
  0m28s,0,2490,-0.617,13.980
 18m16s,1,0,-9.971,13.312
  0m27s,1,10,-13.483,13.371
  0m27s,1,20,-12.748,13.347
  0m30s,1,30,-13.116,13.364
  0m37s,1,40,-15.766,13.437
  0m24s,1,50,-15.897,13.434
  0m24s,1,60,-16.108,13.429
  0m27s,1,70,-15.672,13.413
  0m27s,1,80,-15.590,13.410
  0m29s,1,90,-15.525,13.408
  0m23s,1,100,-17.032,13.443
  0m24s,1,110,-16.973,13.443
  0m29s,1,120,-16.898,13.441
  0m26s,1,130,-16.722,13.438
  0m26s,1,140,-16.297,13.428
  0m25s,1,150,-16.055,13.421
